age,tenure_months,monthly_price,watch_hours_week,sessions_week,support_tickets_90d,ads_seen_week,payment_failures_6m,days_since_last_login,recommendation_click_rate,content_completion_rate,avg_rating_given,plan_type,device_main,payment_method,autopay_enabled,student_discount,family_account,target
22,3,7.6869112726666575,0.09947452476163843,6,0,17,0,42,0.19439213479840078,0.6924248177675232,5.0,standard,tv,card,1,0,0,0
59,44,13.411246464916617,1.0709233244331902,8,2,20,0,12,0.21436283717634813,0.35359086746794444,4.116251056243974,basic,mobile,bank_transfer,1,0,0,0
52,13,7.996396270946705,10.796420763009753,7,1,16,0,31,0.5532099867201337,0.5628851095481058,4.89047438444417,basic,mobile,card,1,0,0,0
41,43,23.156155137267778,7.6380782247115615,4,1,19,1,43,0.10228602811425153,0.6430144327339901,4.776999600847986,standard,tv,card,1,0,0,0
40,34,15.839964867735935,3.43005311105931,4,0,16,0,45,0.33985018718296134,0.7441575887545019,3.7875308068040874,basic,tablet,bank_transfer,0,0,0,0
63,13,15.49331713532403,6.393663513811494,6,1,19,1,32,0.33710631045974593,0.5109282384774873,3.491812342891122,premium,mobile,card,1,0,0,0
22,29,15.918293646636563,16.690852900701053,7,0,19,0,31,0.0821900609973959,0.8358773237885395,4.298282977614904,premium,desktop,card,1,1,0,0
54,3,17.40808252240333,14.408658664675817,5,1,20,1,26,0.29398259486304207,0.7089224009947784,3.8864560496538787,basic,tablet,card,1,0,0,0
28,43,18.902619399338114,7.462832435380818,2,2,12,1,29,0.3159746223846636,0.653819873485662,3.9463068825019936,premium,mobile,card,1,0,1,0
22,19,8.735784284741348,12.080911383766814,10,1,18,0,15,0.11016896084853992,0.778881025425677,3.51181619015052,basic,mobile,card,1,0,0,0
45,24,20.230710389707028,8.605015442295011,6,4,14,0,57,0.16862347645489553,0.6617261527345784,5.0,premium,desktop,paypal,1,0,0,0
69,10,19.97330117606902,0.0,6,0,18,1,56,0.24977322788528397,0.6051145649405032,3.5924579535365218,standard,desktop,card,1,1,0,1
56,22,14.724613556569832,0.0,4,0,13,0,5,0.15522759224707833,0.4871680247088315,3.1106465634076477,premium,desktop,card,1,0,0,0
58,24,14.515085237267202,3.4533360812664444,6,0,17,1,17,0.4383495154138138,0.39844904688271415,5.0,standard,mobile,mobile_wallet,0,0,1,0
56,14,4.99,0.12123411374091386,7,2,13,0,37,0.3056926544303148,0.6478099685069291,4.278767052729992,basic,mobile,paypal,1,0,1,0
59,59,10.014035351193645,9.357834160904648,6,3,25,1,27,0.2278070814303005,0.5141504884528639,4.50033145060123,basic,tv,card,1,0,0,0
45,17,17.06539710505263,5.25030232848576,6,3,24,0,21,0.5768667062745281,0.5945197322629286,3.255427537002966,premium,desktop,card,1,0,1,0
24,11,19.792469865239568,10.126645224998148,6,0,23,0,39,0.455998485731149,0.6452597594862408,4.847550469568325,basic,mobile,card,0,0,0,0
62,33,17.905347688467188,10.2034800567109,2,1,14,0,36,0.129104051329228,0.6161205545633236,4.498978043132559,standard,desktop,card,0,0,1,0
41,20,14.687139736886843,11.450137288265754,8,2,16,0,23,0.5962114407922423,0.6826723416590766,4.1467723107470125,standard,tv,mobile_wallet,1,0,1,0
44,28,22.69349080227378,3.3468953359190863,4,0,19,0,23,0.14981321634180347,0.4522683983387297,3.69229797148624,standard,desktop,mobile_wallet,0,0,0,0
37,44,19.010702225468556,10.578358542191257,8,0,9,0,56,0.13103523412817578,0.5484211613643839,5.0,basic,tablet,bank_transfer,1,1,1,0
27,5,13.41469432502038,3.222688118686638,4,0,15,0,25,0.15316469054177684,0.5019933316514316,3.6029505518395326,basic,desktop,card,1,0,0,0
67,31,23.718442607813657,11.55669965763592,7,0,15,1,50,0.3038393448551614,0.6428102459399854,4.151659688283224,standard,desktop,mobile_wallet,0,1,0,0
59,2,10.605331061173597,14.11327079833178,7,2,13,0,6,0.04815765522964059,0.629513231765933,4.821779471076206,premium,tv,card,1,0,1,0
52,3,9.102639117850174,11.615767868948563,6,0,19,0,13,0.4291738422480921,0.3392677211939958,3.579918423327833,premium,mobile,mobile_wallet,1,1,0,0
39,6,13.305578451504308,7.114612285225586,7,1,15,0,19,0.03755477292648314,0.47048732188504866,5.0,standard,mobile,paypal,1,0,0,0
61,10,11.95543928791766,10.83384126778152,6,0,25,0,25,0.16472901991516892,0.7758033925061245,3.560163043391747,basic,mobile,paypal,1,0,0,0
46,21,13.530273542052404,0.33365031629965003,8,0,18,0,6,0.14563264891907823,0.9421186992694468,5.0,standard,mobile,paypal,1,0,1,0
41,57,18.18236278560446,0.0,6,1,20,0,31,0.030561074260627978,0.46581273568848114,3.2901758582793565,basic,mobile,card,1,0,0,0
41,55,14.854081713581285,10.333980413437079,5,0,16,0,37,0.42587683038630836,0.5456766711823198,4.188264575813514,standard,mobile,bank_transfer,0,0,0,0
30,7,14.95681292952086,14.538672204239152,11,1,23,0,18,0.06489233788819637,0.5304744017171272,3.4017567834057285,premium,tv,card,0,0,0,0
22,60,15.225259264835618,1.8427564461423884,6,2,20,1,43,0.6053891740171815,0.9160279885418873,4.841025320088843,standard,tablet,card,0,0,0,0
47,39,5.740698028100853,8.075923024508903,8,0,17,0,24,0.14581573476964796,0.4901687936958057,4.190092223879822,standard,mobile,paypal,0,1,1,0
65,34,8.928957968327731,10.194317758399112,5,1,11,1,53,0.45826155219332954,0.6383648901367798,2.6093391753149424,premium,mobile,mobile_wallet,1,0,1,0
21,48,13.448754938282313,4.927240781866199,5,0,23,0,15,0.4054460752939964,0.4882617853410144,2.271812548027624,basic,mobile,card,1,0,0,0
63,30,11.61828479460905,6.303086337375312,6,0,24,0,17,0.14700687446260846,0.9084488424422033,3.943560820785387,premium,mobile,mobile_wallet,1,0,0,0
61,16,14.062850051415529,11.066216424226003,4,3,11,0,0,0.17770142038553965,0.6529161644591115,3.8682576452504374,standard,mobile,card,1,1,1,0
32,32,20.60651351843236,8.540932117455203,5,2,21,1,18,0.5788421984203715,0.5728023422862022,4.836836855483094,standard,mobile,card,1,0,0,0
51,44,14.692202010427211,8.562786113285737,6,0,15,0,0,0.11893370967492162,0.44392072829655693,5.0,standard,tablet,card,0,0,0,0
26,41,9.701327129108059,3.088507978596188,6,1,20,0,31,0.3963217695215208,0.12565295461843984,4.232602192086881,basic,tv,card,1,1,1,0
58,11,11.817600850941306,7.844253248374085,5,3,17,0,44,0.40280537012572076,0.3385484086626444,3.3449120990572547,premium,tv,bank_transfer,1,0,1,0
55,57,21.832303635969016,6.010433368581406,3,0,14,1,32,0.3719444802795398,0.44309978194980787,2.844176563293045,basic,tv,mobile_wallet,1,0,0,0
36,18,21.119975885836062,6.2780904523896846,11,1,16,0,6,0.1147909614560254,0.673888512308789,4.667468316433426,standard,desktop,mobile_wallet,1,0,1,0
21,50,17.37350974259553,5.2929796383233905,8,2,16,1,58,0.3418654873982734,0.6464270801770077,3.503837533118916,standard,tv,card,0,0,0,0
69,19,8.740067717218679,7.863599101092873,12,1,13,1,40,0.11421456697879652,0.5718006389966139,4.044918498996861,premium,mobile,paypal,0,0,1,0
41,4,16.2172197404166,3.6586110709826496,7,0,18,1,53,0.1037723645450136,0.6550542859475559,2.33278434661766,standard,mobile,card,1,0,0,1
65,60,16.52478839660281,8.060448887133035,6,2,24,0,52,0.169756459586401,0.4731142771450469,3.4370776818436983,basic,mobile,mobile_wallet,1,0,0,1
